seed,n,patch,coupling,severity,scope,scope_size,solver,solution,cost,gap,evals,runtime_s,p_opt,depth,shots,amp_ops,boundary_ratio,noise_lambda,scope_recall
3,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.002641458995640278,0.2857085107600342,2,1024,5696,0.0,0.0,0.75
3,16,4,0.55,0.65,inferred-noise,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.0016467079985886812,0.2466471871508902,1,256,5696,0.0,0.1,0.75
3,16,4,0.55,0.65,inferred-noise,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.0015076668933033943,0.2159559892924085,1,256,5696,0.0,0.25,0.75
3,16,4,0.55,0.65,inferred-noise,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.0014927919255569577,0.16480399286160566,1,256,5696,0.0,0.5,0.75
4,16,4,0.55,0.65,full,16,deployed,16340,0.9329427317423882,0.0,0,0.0,,0,0,0,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,full,16,exact enumeration,16340,0.9329427317423882,0.0,65536,0.0,,0,0,68719476736,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,full,16,MILP,16340,0.9329427317423882,0.0,0,0.015446208999492228,,0,0,0,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,full,16,annealing,16340,0.9329427317423882,0.0,89,8.625001646578312e-05,,0,0,93323264,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,full,16,QAOA,15316,1.399526229531158,0.24138506026414103,89,0.23335004202090204,0.0024251943976763154,1,256,93323264,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,true,4,exact LNS,16340,0.9329427317423882,0.0,16,1.500011421740055e-06,,0,0,1024,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,true,4,annealing,16340,0.9329427317423882,0.0,89,7.791700772941113e-05,,0,0,5696,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,true,4,QAOA,16340,0.9329427317423882,0.0,89,0.0016314589884132147,0.4557570251643016,1,256,5696,0.09691061199128054,0.0,1.0
4,16,4,0.55,0.65,inferred,4,exact LNS,16340,0.9329427317423882,0.0,16,1.00000761449337e-06,,0,0,1024,0.09691061199128054,0.0,0.75
4,16,4,0.55,0.65,inferred,4,annealing,16340,0.9329427317423882,0.0,89,7.049995474517345e-05,,0,0,5696,0.09691061199128054,0.0,0.75
