n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
5000,11,9,5,33,0.0066,0.001916,14991
5000,12,0,5,37,0.0074,0.005375,14991
5000,12,1,5,37,0.0074,0.002917,14991
5000,12,2,5,36,0.0072,0.002583,14991
5000,12,3,5,35,0.007,0.00225,14991
5000,12,4,5,33,0.0066,0.002334,14991
5000,12,5,5,29,0.0058,0.002125,14991
5000,12,6,5,33,0.0066,0.002166,14991
5000,12,7,5,37,0.0074,0.002333,14991
5000,12,8,5,37,0.0074,0.002125,14991
5000,12,9,5,42,0.0084,0.002541,14991
5000,13,0,5,38,0.0076,0.004458,14990
5000,13,1,5,30,0.006,0.002291,14990
5000,13,2,5,38,0.0076,0.002291,14990
5000,13,3,5,35,0.007,0.002,14990
5000,13,4,5,33,0.0066,0.002125,14990
5000,13,5,5,38,0.0076,0.002292,14990
5000,13,6,5,40,0.008,0.00225,14990
5000,13,7,5,36,0.0072,0.002208,14990
5000,13,8,5,36,0.0072,0.001917,14990
5000,13,9,5,37,0.0074,0.002083,14990
5000,14,0,5,34,0.0068,0.004,14994
5000,14,1,5,32,0.0064,0.002458,14994
5000,14,2,5,34,0.0068,0.002125,14994
5000,14,3,5,41,0.0082,0.002333,14994
5000,14,4,5,39,0.0078,0.002166,14994
5000,14,5,5,35,0.007,0.002125,14994
5000,14,6,5,34,0.0068,0.001833,14994
5000,14,7,5,34,0.0068,0.001958,14994
5000,14,8,5,37,0.0074,0.001833,14994
5000,14,9,5,35,0.007,0.001792,14994
5000,15,0,5,31,0.0062,0.005792,14990
5000,15,1,5,34,0.0068,0.002666,14990
5000,15,2,5,35,0.007,0.002625,14990
5000,15,3,5,30,0.006,0.002375,14990
5000,15,4,5,28,0.0056,0.002125,14990
5000,15,5,5,33,0.0066,0.002125,14990
5000,15,6,5,36,0.0072,0.002334,14990
5000,15,7,5,37,0.0074,0.002,14990
5000,15,8,5,36,0.0072,0.002125,14990
5000,15,9,5,38,0.0076,0.002833,14990
5000,16,0,5,33,0.0066,0.004667,14987
5000,16,1,5,36,0.0072,0.002667,14987
5000,16,2,5,33,0.0066,0.0025,14987
5000,16,3,5,36,0.0072,0.002166,14987
5000,16,4,5,31,0.0062,0.001958,14987
5000,16,5,5,29,0.0058,0.001875,14987
5000,16,6,5,35,0.007,0.00175,14987
5000,16,7,5,32,0.0064,0.002,14987
5000,16,8,5,32,0.0064,0.001833,14987
5000,16,9,5,32,0.0064,0.001791,14987
5000,17,0,5,34,0.0068,0.003875,14992
5000,17,1,5,33,0.0066,0.002209,14992
5000,17,2,5,30,0.006,0.002084,14992
5000,17,3,5,34,0.0068,0.001833,14992
5000,17,4,5,34,0.0068,0.001875,14992
5000,17,5,5,27,0.0054,0.001625,14992
5000,17,6,5,35,0.007,0.001875,14992
5000,17,7,5,36,0.0072,0.002,14992
5000,17,8,5,31,0.0062,0.002,14992
5000,17,9,5,38,0.0076,0.002375,14992
5000,18,0,5,37,0.0074,0.004167,14990
5000,18,1,5,38,0.0076,0.002625,14990
5000,18,2,5,39,0.0078,0.002542,14990
5000,18,3,5,44,0.0088,0.002334,14990
5000,18,4,5,35,0.007,0.002125,14990
5000,18,5,5,32,0.0064,0.001916,14990
5000,18,6,5,32,0.0064,0.001792,14990
5000,18,7,5,35,0.007,0.001916,14990
5000,18,8,5,32,0.0064,0.001875,14990
5000,18,9,5,40,0.008,0.002291,14990
5000,19,0,5,35,0.007,0.004708,14988
5000,19,1,5,34,0.0068,0.003208,14988
5000,19,2,5,32,0.0064,0.002,14988
5000,19,3,5,33,0.0066,0.002584,14988
5000,19,4,5,35,0.007,0.001958,14988
5000,19,5,5,36,0.0072,0.001959,14988
5000,19,6,5,35,0.007,0.001917,14988
5000,19,7,5,35,0.007,0.001833,14988
