dataset,seed,method,accuracy,brier,ece,public_size,private_size,public_fraction,test_size,clients,noniid,noise_lambda,shots,rounds,bytes,inference_models,membership_auc,membership_null_auc,inference_ms,parameter_bytes,min_client_contribution,mean_client_contribution
cancer,10,FedMD-2r,0.9197080291970803,0.09775022264038283,0.21216956096338338,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6823029440339137,0.482293765401169,0.421583,264,0.021897810218978186,0.08759124087591245
cancer,10,FedMD,0.9343065693430657,0.09023475912050377,0.20228385206536179,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6823029440339137,0.482293765401169,0.421208,264,0.021897810218978186,0.08759124087591245
cancer,10,centralized reference,0.948905109489051,0.05025690586520808,0.07108948659443937,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6823029440339137,0.482293765401169,0.004541,56,0.021897810218978186,0.08759124087591245
cancer,11,best local,0.8978102189781022,0.07199159814240313,0.07921481388846977,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6247792488668401,0.49122788538846934,0.202292,104,0.03649635036496357,0.10705596107055966
cancer,11,unweighted ensemble,0.8832116788321168,0.12171200857453061,0.19252454387280715,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6247792488668401,0.49122788538846934,0.405125,264,0.03649635036496357,0.10705596107055966
cancer,11,weighted ensemble,0.8905109489051095,0.09074514906971887,0.14964757862872421,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6247792488668401,0.49122788538846934,0.40975,264,0.03649635036496357,0.10705596107055966
cancer,11,hard transfer,0.8540145985401459,0.09862879766434207,0.10168479219641761,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6247792488668401,0.49122788538846934,0.004625,56,0.03649635036496357,0.10705596107055966
cancer,11,FedDF,0.8394160583941606,0.13756144701076248,0.1748701053477764,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6247792488668401,0.49122788538846934,0.004542,56,0.03649635036496357,0.10705596107055966
cancer,11,FedMD-1r,0.8759124087591241,0.10536302747639018,0.1879758108812911,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6247792488668401,0.49122788538846934,0.414458,264,0.03649635036496357,0.10705596107055966
cancer,11,FedMD-2r,0.8905109489051095,0.09507386222581764,0.17296139984001418,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6247792488668401,0.49122788538846934,0.4075,264,0.03649635036496357,0.10705596107055966
cancer,11,FedMD,0.9051094890510949,0.08930339700778418,0.1752359065811494,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6247792488668401,0.49122788538846934,0.407416,264,0.03649635036496357,0.10705596107055966
cancer,11,centralized reference,0.9343065693430657,0.05225046567986172,0.048155250607016024,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6247792488668401,0.49122788538846934,0.004542,56,0.03649635036496357,0.10705596107055966
digits,0,best local,0.9767441860465116,0.013768264600038231,0.04966489267204726,86,185,0.24,86,3,severe,0.55,64,0,0,1,0.5090455153470906,0.48983277565423106,0.16125,104,0.12790697674418605,0.19379844961240308
digits,0,unweighted ensemble,0.9767441860465116,0.10329784417904957,0.2822853179534521,86,185,0.24,86,3,severe,0.55,64,1,2064,3,0.5090455153470906,0.48983277565423106,0.3365,264,0.12790697674418605,0.19379844961240308
digits,0,weighted ensemble,0.9767441860465116,0.051511957242145585,0.19784565191134956,86,185,0.24,86,3,severe,0.55,64,1,2064,3,0.5090455153470906,0.48983277565423106,0.332166,264,0.12790697674418605,0.19379844961240308
digits,0,hard transfer,0.9767441860465116,0.020181305677412463,0.0542904073115703,86,185,0.24,86,3,severe,0.55,64,1,2064,1,0.5090455153470906,0.48983277565423106,0.004167,56,0.12790697674418605,0.19379844961240308
digits,0,FedDF,0.9069767441860465,0.11943603974858776,0.2421900470438178,86,185,0.24,86,3,severe,0.55,64,1,2064,1,0.5090455153470906,0.48983277565423106,0.004125,56,0.12790697674418605,0.19379844961240308
digits,0,FedMD-1r,0.9418604651162791,0.11096764157143592,0.2705765914895253,86,185,0.24,86,3,severe,0.55,64,1,2064,3,0.5090455153470906,0.48983277565423106,0.335458,264,0.12790697674418605,0.19379844961240308
digits,0,FedMD-2r,0.9302325581395349,0.11147194809421233,0.28343507916195815,86,185,0.24,86,3,severe,0.55,64,2,4128,3,0.5090455153470906,0.48983277565423106,0.329583,264,0.12790697674418605,0.19379844961240308
digits,0,FedMD,0.9302325581395349,0.11183827543623343,0.28178142217838814,86,185,0.24,86,3,severe,0.55,64,3,6192,3,0.5090455153470906,0.48983277565423106,0.339458,264,0.12790697674418605,0.19379844961240308
digits,0,centralized reference,0.9883720930232558,0.016077161316101516,0.05364863518625903,86,185,0.24,86,3,severe,0.55,64,0,0,1,0.5090455153470906,0.48983277565423106,0.004167,56,0.12790697674418605,0.19379844961240308
digits,1,best local,0.9534883720930233,0.03234377122912703,0.05292210300792348,86,185,0.24,86,3,severe,0.55,64,0,0,1,0.5802583582403537,0.5008052608390193,0.158417,104,0.03488372093023251,0.06201550387596896
digits,1,unweighted ensemble,0.9767441860465116,0.08393571854900483,0.2424389621837479,86,185,0.24,86,3,severe,0.55,64,1,2064,3,0.5802583582403537,0.5008052608390193,0.326125,264,0.03488372093023251,0.06201550387596896
digits,1,weighted ensemble,0.9651162790697675,0.05041125832287135,0.1609227374777273,86,185,0.24,86,3,severe,0.55,64,1,2064,3,0.5802583582403537,0.5008052608390193,0.332042,264,0.03488372093023251,0.06201550387596896
digits,1,hard transfer,0.9883720930232558,0.018826026844337145,0.052669405463388726,86,185,0.24,86,3,severe,0.55,64,1,2064,1,0.5802583582403537,0.5008052608390193,0.004208,56,0.03488372093023251,0.06201550387596896
digits,1,FedDF,0.9418604651162791,0.09664324860577897,0.2712678148760415,86,185,0.24,86,3,severe,0.55,64,1,2064,1,0.5802583582403537,0.5008052608390193,0.004125,56,0.03488372093023251,0.06201550387596896
digits,1,FedMD-1r,0.9883720930232558,0.07572023959251661,0.242849482001917,86,185,0.24,86,3,severe,0.55,64,1,2064,3,0.5802583582403537,0.5008052608390193,0.315041,264,0.03488372093023251,0.06201550387596896
