n,seed,context,policy,action,utility,deadline_miss,infeasible
12,8,28,always remote-sim,remote-sim,-0.25282019532517563,0,0
12,8,28,always local-sim,local-sim,-0.10768407438376715,0,0
12,8,28,always fallback,fallback,-0.21543745827517227,0,0
12,8,29,P1,local-sim,-0.11169516924953142,0,0
12,8,29,utility-only,local-sim,-0.11169516924953142,0,0
12,8,29,logged-IPW,local-sim,-0.11169516924953142,0,0
12,8,29,LinUCB,invoke-QPU,-0.19279338578435495,0,0
12,8,29,Pareto,local-sim,-0.11169516924953142,0,0
12,8,29,oracle,local-sim,-0.11169516924953142,0,0
12,8,29,train-selected fixed,local-sim,-0.11169516924953142,0,0
12,8,29,always invoke-QPU,invoke-QPU,-0.19279338578435495,0,0
12,8,29,always remote-sim,remote-sim,-0.32219794294445503,0,0
12,8,29,always local-sim,local-sim,-0.11169516924953142,0,0
12,8,29,always fallback,fallback,-0.198823059660088,0,0
12,9,0,P1,local-sim,-0.1162674036093708,0,0
12,9,0,utility-only,local-sim,-0.1162674036093708,0,0
12,9,0,logged-IPW,local-sim,-0.1162674036093708,0,0
12,9,0,LinUCB,local-sim,-0.1162674036093708,0,0
12,9,0,Pareto,local-sim,-0.1162674036093708,0,0
12,9,0,oracle,local-sim,-0.1162674036093708,0,0
12,9,0,train-selected fixed,local-sim,-0.1162674036093708,0,0
12,9,0,always invoke-QPU,invoke-QPU,-0.14391285107381563,0,0
12,9,0,always remote-sim,remote-sim,-0.25267703060523605,0,0
12,9,0,always local-sim,local-sim,-0.1162674036093708,0,0
12,9,0,always fallback,fallback,-0.22032011017280284,0,0
12,9,1,P1,local-sim,-0.10759350397399592,0,0
12,9,1,utility-only,local-sim,-0.10759350397399592,0,0
12,9,1,logged-IPW,local-sim,-0.10759350397399592,0,0
12,9,1,LinUCB,local-sim,-0.10759350397399592,0,0
12,9,1,Pareto,local-sim,-0.10759350397399592,0,0
12,9,1,oracle,local-sim,-0.10759350397399592,0,0
12,9,1,train-selected fixed,local-sim,-0.10759350397399592,0,0
12,9,1,always invoke-QPU,invoke-QPU,-2.22800740003444,1,0
12,9,1,always remote-sim,remote-sim,-0.20499079137289478,0,0
12,9,1,always local-sim,local-sim,-0.10759350397399592,0,0
12,9,1,always fallback,fallback,-0.20609928996381402,0,0
12,9,2,P1,local-sim,-0.10279833479976475,0,0
12,9,2,utility-only,local-sim,-0.10279833479976475,0,0
12,9,2,logged-IPW,local-sim,-0.10279833479976475,0,0
12,9,2,LinUCB,remote-sim,-0.13997269558810294,0,0
12,9,2,Pareto,local-sim,-0.10279833479976475,0,0
12,9,2,oracle,local-sim,-0.10279833479976475,0,0
12,9,2,train-selected fixed,local-sim,-0.10279833479976475,0,0
12,9,2,always invoke-QPU,invoke-QPU,-0.10843795688466612,0,0
12,9,2,always remote-sim,remote-sim,-0.13997269558810294,0,0
12,9,2,always local-sim,local-sim,-0.10279833479976475,0,0
12,9,2,always fallback,fallback,-0.18691414827033284,0,0
