Base Station ID,Cell ID,Timestamp,prb_pct,traffic_kbyte,users,minute
12751,12751-0,22:00,6.56000000,655530.06000000,5.19000000,1320
12751,12751-0,22:30,5.82000000,295946.91000000,4.23000000,1350
12751,12751-0,23:00,5.48000000,214529.00000000,3.23000000,1380
12751,12751-0,23:30,5.41000000,136307.09000000,2.46000000,1410
12751,12751-1,00:00,33.56000000,42122638.08000000,17.61000000,0
12751,12751-1,00:30,17.61000000,15442057.28000000,15.82000000,30
12751,12751-1,01:00,34.33000000,40105195.81000000,17.12000000,60
12751,12751-1,01:30,86.94000000,118173172.56000000,14.18000000,90
12751,12751-1,02:00,57.15000000,77076018.03000000,13.60000000,120
12751,12751-1,02:30,17.18000000,17485739.30000000,11.88000000,150
12751,12751-1,03:00,3.00000000,127483.88000000,1.69000000,180
12751,12751-1,03:30,0.00000000,0.00000000,0.00000000,210
12751,12751-1,04:00,0.00000000,0.00000000,0.00000000,240
12751,12751-1,04:30,0.00000000,0.00000000,0.00000000,270
12751,12751-1,05:00,6.19000000,895528.75000000,11.81000000,300
12751,12751-1,05:30,5.79000000,474343.11000000,12.44000000,330
12751,12751-1,06:00,7.09000000,1831472.69000000,16.50000000,360
12751,12751-1,06:30,7.05000000,1293087.44000000,22.25000000,390
12751,12751-1,07:00,8.93000000,2614909.47000000,32.44000000,420
12751,12751-1,07:30,10.08000000,3385882.69000000,39.59000000,450
12751,12751-1,08:00,8.30000000,1766654.30000000,33.03000000,480
12751,12751-1,08:30,64.86000000,52334232.78000000,41.12000000,510
12751,12751-1,09:00,92.41000000,76226793.91000000,44.59000000,540
12751,12751-1,09:30,97.00000000,53935969.49000000,42.94000000,570
12751,12751-1,10:00,97.23000000,85018921.31000000,40.29000000,600
12751,12751-1,10:30,97.34000000,68433326.34000000,41.61000000,630
12751,12751-1,11:00,97.30000000,69026210.51000001,43.46000000,660
12751,12751-1,11:30,96.20000000,68848745.62000000,42.27000000,690
12751,12751-1,12:00,92.52000000,74615586.61000000,41.75000000,720
12751,12751-1,12:30,96.98000000,96191119.16000000,38.53000000,750
12751,12751-1,13:00,96.93000000,53438643.96000000,36.49000000,780
12751,12751-1,13:30,96.90000000,54894344.20000000,30.80000000,810
12751,12751-1,14:00,96.91000000,41093314.75000000,35.38000000,840
12751,12751-1,14:30,97.10000000,44488130.27000000,33.23000000,870
12751,12751-1,15:00,96.49000000,48065531.27000000,31.20000000,900
12751,12751-1,15:30,96.33000000,81870761.87000000,33.78000000,930
12751,12751-1,16:00,96.61000000,88829482.67000000,36.25000000,960
12751,12751-1,16:30,97.08000000,102150318.15000001,37.48000000,990
12751,12751-1,17:00,96.49000000,104898578.45000000,41.15000000,1020
12751,12751-1,17:30,95.86000000,108725918.45999999,40.23000000,1050
